round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2005-09-13,Olympiacos,Rosenborg,Greece,Norway,1,3,,,Stadio Georgios Karaiskakis,Rosenborg,1-3
Group stage,2005-09-13,PSV Eindhoven,Schalke 04,Netherlands,Germany,1,0,,,PSV Stadion,PSV Eindhoven,1-0
Group stage,2005-09-13,Rangers,Porto,Scotland,Portugal,3,2,,,Ibrox Stadium,Rangers,3-2
Group stage,2005-09-13,Artmedia,Inter,Slovakia,Italy,0,1,,,Tehelné Pole,Inter,0-1
Group stage,2005-09-13,Lyon,Real Madrid,France,Spain,3,0,,,Stade de Gerland,Lyon,3-0
Group stage,2005-09-13,Betis,Liverpool,Spain,England,1,2,,,Manuel Ruíz de Lopera,Liverpool,1-2
Group stage,2005-09-13,Chelsea,Anderlecht,England,Belgium,1,0,,,Stamford Bridge,Chelsea,1-0
Group stage,2005-09-13,Milan,Fenerbahçe,Italy,Turkey,3,1,,,Stadio Giuseppe Meazza,Milan,3-1
Group stage,2005-09-14,Udinese,Panathinaikos,Italy,Greece,3,0,,,Stadio Friuli,Udinese,3-0
Group stage,2005-09-14,Werder Bremen,Barcelona,Germany,Spain,0,2,,,Weserstadion,Barcelona,0-2
Group stage,2005-09-14,Arsenal,Thun,England,Switzerland,2,1,,,Highbury,Arsenal,2-1
Group stage,2005-09-14,Villarreal,Manchester Utd,Spain,England,0,0,,,Estadio El Madrigal,,0-0
Group stage,2005-09-14,Benfica,Lille,Portugal,France,1,0,,,Estádio do Sport Lisboa e Benfica,Benfica,1-0
Group stage,2005-09-14,Sparta Prague,Ajax,Czech Republic,Netherlands,1,1,,,Stadion Letná,,1-1
Group stage,2005-09-14,Rapid Wien,Bayern Munich,Austria,Germany,0,1,,,Ernst,Bayern Munich,0-1
Group stage,2005-09-14,Club Brugge,Juventus,Belgium,Italy,1,2,,,Jan Breydelstadion,Juventus,1-2
Group stage,2005-09-27,Bayern Munich,Club Brugge,Germany,Belgium,1,0,,,Fußball Arena München,Bayern Munich,1-0
Group stage,2005-09-27,Ajax,Arsenal,Netherlands,England,1,2,,,Amsterdam ArenA,Arsenal,1-2
Group stage,2005-09-27,Juventus,Rapid Wien,Italy,Austria,3,0,,,Delle Alpi,Juventus,3-0
Group stage,2005-09-27,Barcelona,Udinese,Spain,Italy,4,1,,,Camp Nou,Barcelona,4-1
Group stage,2005-09-27,Manchester Utd,Benfica,England,Portugal,2,1,,,Old Trafford,Manchester Utd,2-1
Group stage,2005-09-27,Panathinaikos,Werder Bremen,Greece,Germany,2,1,,,OAKA Spiros Louis,Panathinaikos,2-1
Group stage,2005-09-27,Lille,Villarreal,France,Spain,0,0,,,Stade de France,,0-0
Group stage,2005-09-27,Thun,Sparta Prague,Switzerland,Czech Republic,1,0,,,Stade de Suisse,Thun,1-0
Group stage,2005-09-28,Real Madrid,Olympiacos,Spain,Greece,2,1,,,Estadio Santiago Bernabéu,Real Madrid,2-1
Group stage,2005-09-28,Schalke 04,Milan,Germany,Italy,2,2,,,Stadion Gelsenkirchen,,2-2
Group stage,2005-09-28,Inter,Rangers,Italy,Scotland,1,0,,,Stadio Giuseppe Meazza,Inter,1-0
Group stage,2005-09-28,Anderlecht,Betis,Belgium,Spain,0,1,,,Constant Vanden Stock Stadium,Betis,0-1
Group stage,2005-09-28,Rosenborg,Lyon,Norway,France,0,1,,,Lerkendal Stadion,Lyon,0-1
Group stage,2005-09-28,Liverpool,Chelsea,England,England,0,0,,,Anfield,,0-0
Group stage,2005-09-28,Porto,Artmedia,Portugal,Slovakia,2,3,,,Estádio do Dragão,Artmedia,2-3
Group stage,2005-09-28,Fenerbahçe,PSV Eindhoven,Turkey,Netherlands,3,0,,,Şükrü Saracoğlu,Fenerbahçe,3-0
Group stage,2005-10-18,Rapid Wien,Club Brugge,Austria,Belgium,0,1,,,Ernst,Club Brugge,0-1
Group stage,2005-10-18,Bayern Munich,Juventus,Germany,Italy,2,1,,,Fußball Arena München,Bayern Munich,2-1
Group stage,2005-10-18,Ajax,Thun,Netherlands,Switzerland,2,0,,,Amsterdam ArenA,Ajax,2-0
Group stage,2005-10-18,Sparta Prague,Arsenal,Czech Republic,England,0,2,,,Stadion Letná,Arsenal,0-2
Group stage,2005-10-18,Udinese,Werder Bremen,Italy,Germany,1,1,,,Stadio Friuli,,1-1
Group stage,2005-10-18,Panathinaikos,Barcelona,Greece,Spain,0,0,,,OAKA Spiros Louis,,0-0
Group stage,2005-10-18,Manchester Utd,Lille,England,France,0,0,,,Old Trafford,,0-0
Group stage,2005-10-18,Villarreal,Benfica,Spain,Portugal,1,1,,,Estadio El Madrigal,,1-1
Group stage,2005-10-19,Fenerbahçe,Schalke 04,Turkey,Germany,3,3,,,Şükrü Saracoğlu,,3-3
Group stage,2005-10-19,Anderlecht,Liverpool,Belgium,England,0,1,,,Constant Vanden Stock Stadium,Liverpool,0-1
Group stage,2005-10-19,Rangers,Artmedia,Scotland,Slovakia,0,0,,,Ibrox Stadium,,0-0
Group stage,2005-10-19,Porto,Inter,Portugal,Italy,2,0,,,Estádio do Dragão,Porto,2-0
Group stage,2005-10-19,Milan,PSV Eindhoven,Italy,Netherlands,0,0,,,Stadio Giuseppe Meazza,,0-0
Group stage,2005-10-19,Chelsea,Betis,England,Spain,4,0,,,Stamford Bridge,Chelsea,4-0
Group stage,2005-10-19,Real Madrid,Rosenborg,Spain,Norway,4,1,,,Estadio Santiago Bernabéu,Real Madrid,4-1
Group stage,2005-10-19,Lyon,Olympiacos,France,Greece,2,1,,,Stade de Gerland,Lyon,2-1
Group stage,2005-11-01,Rosenborg,Real Madrid,Norway,Spain,0,2,,,Lerkendal Stadion,Real Madrid,0-2
Group stage,2005-11-01,Artmedia,Rangers,Slovakia,Scotland,2,2,,,Tehelné Pole,,2-2
Group stage,2005-11-01,PSV Eindhoven,Milan,Netherlands,Italy,1,0,,,PSV Stadion,PSV Eindhoven,1-0
Group stage,2005-11-01,Liverpool,Anderlecht,England,Belgium,3,0,,,Anfield,Liverpool,3-0
Group stage,2005-11-01,Betis,Chelsea,Spain,England,1,0,,,Manuel Ruíz de Lopera,Betis,1-0
Group stage,2005-11-01,Inter,Porto,Italy,Portugal,2,1,,,Stadio Giuseppe Meazza,Inter,2-1
Group stage,2005-11-01,Schalke 04,Fenerbahçe,Germany,Turkey,2,0,,,Stadion Gelsenkirchen,Schalke 04,2-0
Group stage,2005-11-01,Olympiacos,Lyon,Greece,France,1,4,,,Stadio Georgios Karaiskakis,Lyon,1-4
Group stage,2005-11-02,Werder Bremen,Udinese,Germany,Italy,4,3,,,Weserstadion,Werder Bremen,4-3
Group stage,2005-11-02,Thun,Ajax,Switzerland,Netherlands,2,4,,,Stade de Suisse,Ajax,2-4
Group stage,2005-11-02,Arsenal,Sparta Prague,England,Czech Republic,3,0,,,Highbury,Arsenal,3-0
Group stage,2005-11-02,Club Brugge,Rapid Wien,Belgium,Austria,3,2,,,Jan Breydelstadion,Club Brugge,3-2
Group stage,2005-11-02,Juventus,Bayern Munich,Italy,Germany,2,1,,,Delle Alpi,Juventus,2-1
Group stage,2005-11-02,Benfica,Villarreal,Portugal,Spain,0,1,,,Estádio do Sport Lisboa e Benfica,Villarreal,0-1
Group stage,2005-11-02,Barcelona,Panathinaikos,Spain,Greece,5,0,,,Camp Nou,Barcelona,5-0
Group stage,2005-11-02,Lille,Manchester Utd,France,England,1,0,,,Stade de France,Lille,1-0
Group stage,2005-11-22,Barcelona,Werder Bremen,Spain,Germany,3,1,,,Camp Nou,Barcelona,3-1
Group stage,2005-11-22,Lille,Benfica,France,Portugal,0,0,,,Stade de France,,0-0
Group stage,2005-11-22,Bayern Munich,Rapid Wien,Germany,Austria,4,0,,,Fußball Arena München,Bayern Munich,4-0
Group stage,2005-11-22,Ajax,Sparta Prague,Netherlands,Czech Republic,2,1,,,Amsterdam ArenA,Ajax,2-1
Group stage,2005-11-22,Manchester Utd,Villarreal,England,Spain,0,0,,,Old Trafford,,0-0
Group stage,2005-11-22,Thun,Arsenal,Switzerland,England,0,1,,,Stade de Suisse,Arsenal,0-1
Group stage,2005-11-22,Panathinaikos,Udinese,Greece,Italy,1,2,,,OAKA Spiros Louis,Udinese,1-2
Group stage,2005-11-22,Juventus,Club Brugge,Italy,Belgium,1,0,,,Delle Alpi,Juventus,1-0
Group stage,2005-11-23,Liverpool,Betis,England,Spain,0,0,,,Anfield,,0-0
Group stage,2005-11-23,Rosenborg,Olympiacos,Norway,Greece,1,1,,,Lerkendal Stadion,,1-1
Group stage,2005-11-23,Real Madrid,Lyon,Spain,France,1,1,,,Estadio Santiago Bernabéu,,1-1
Group stage,2005-11-23,Fenerbahçe,Milan,Turkey,Italy,0,4,,,Şükrü Saracoğlu,Milan,0-4
Group stage,2005-11-23,Anderlecht,Chelsea,Belgium,England,0,2,,,Constant Vanden Stock Stadium,Chelsea,0-2
Group stage,2005-11-23,Inter,Artmedia,Italy,Slovakia,4,0,,,Stadio Giuseppe Meazza,Inter,4-0
Group stage,2005-11-23,Porto,Rangers,Portugal,Scotland,1,1,,,Estádio do Dragão,,1-1
Group stage,2005-11-23,Schalke 04,PSV Eindhoven,Germany,Netherlands,3,0,,,Stadion Gelsenkirchen,Schalke 04,3-0
Group stage,2005-12-06,Milan,Schalke 04,Italy,Germany,3,2,,,Stadio Giuseppe Meazza,Milan,3-2
Group stage,2005-12-06,Lyon,Rosenborg,France,Norway,2,1,,,Stade de Gerland,Lyon,2-1
Group stage,2005-12-06,Betis,Anderlecht,Spain,Belgium,0,1,,,Manuel Ruíz de Lopera,Anderlecht,0-1
Group stage,2005-12-06,Chelsea,Liverpool,England,England,0,0,,,Stamford Bridge,,0-0
Group stage,2005-12-06,Artmedia,Porto,Slovakia,Portugal,0,0,,,Tehelné Pole,,0-0
Group stage,2005-12-06,PSV Eindhoven,Fenerbahçe,Netherlands,Turkey,2,0,,,PSV Stadion,PSV Eindhoven,2-0
Group stage,2005-12-06,Rangers,Inter,Scotland,Italy,1,1,,,Ibrox Stadium,,1-1
Group stage,2005-12-06,Olympiacos,Real Madrid,Greece,Spain,2,1,,,Stadio Georgios Karaiskakis,Olympiacos,2-1
Group stage,2005-12-07,Villarreal,Lille,Spain,France,1,0,,,Estadio El Madrigal,Villarreal,1-0
Group stage,2005-12-07,Sparta Prague,Thun,Czech Republic,Switzerland,0,0,,,Stadion Letná,,0-0
Group stage,2005-12-07,Udinese,Barcelona,Italy,Spain,0,2,,,Stadio Friuli,Barcelona,0-2
Group stage,2005-12-07,Club Brugge,Bayern Munich,Belgium,Germany,1,1,,,Jan Breydelstadion,,1-1
Group stage,2005-12-07,Werder Bremen,Panathinaikos,Germany,Greece,5,1,,,Weserstadion,Werder Bremen,5-1
Group stage,2005-12-07,Rapid Wien,Juventus,Austria,Italy,1,3,,,Ernst,Juventus,1-3
Group stage,2005-12-07,Arsenal,Ajax,England,Netherlands,0,0,,,Highbury,,0-0
Group stage,2005-12-07,Benfica,Manchester Utd,Portugal,England,2,1,,,Estádio do Sport Lisboa e Benfica,Benfica,2-1
Round of 16,2006-02-21,PSV Eindhoven,Lyon,Netherlands,France,0,1,,,PSV Stadion,Lyon,0-1
Round of 16,2006-02-21,Benfica,Liverpool,Portugal,England,1,0,,,Estádio do Sport Lisboa e Benfica,Benfica,1-0
Round of 16,2006-02-21,Bayern Munich,Milan,Germany,Italy,1,1,,,Fußball Arena München,,1-1
Round of 16,2006-02-21,Real Madrid,Arsenal,Spain,England,0,1,,,Estadio Santiago Bernabéu,Arsenal,0-1
Round of 16,2006-02-22,Werder Bremen,Juventus,Germany,Italy,3,2,,,Weserstadion,Werder Bremen,3-2
Round of 16,2006-02-22,Chelsea,Barcelona,England,Spain,1,2,,,Stamford Bridge,Barcelona,1-2
Round of 16,2006-02-22,Rangers,Villarreal,Scotland,Spain,2,2,,,Ibrox Stadium,,2-2
Round of 16,2006-02-22,Ajax,Inter,Netherlands,Italy,2,2,,,Amsterdam ArenA,,2-2
Round of 16,2006-03-07,Juventus,Werder Bremen,Italy,Germany,2,1,,,Delle Alpi,Juventus,2-1
Round of 16,2006-03-07,Barcelona,Chelsea,Spain,England,1,1,,,Camp Nou,,1-1
Round of 16,2006-03-07,Villarreal,Rangers,Spain,Scotland,1,1,,,Estadio El Madrigal,,1-1
Round of 16,2006-03-08,Arsenal,Real Madrid,England,Spain,0,0,,,Highbury,,0-0
Round of 16,2006-03-08,Lyon,PSV Eindhoven,France,Netherlands,4,0,,,Stade de Gerland,Lyon,4-0
Round of 16,2006-03-08,Liverpool,Benfica,England,Portugal,0,2,,,Anfield,Benfica,0-2
Round of 16,2006-03-08,Milan,Bayern Munich,Italy,Germany,4,1,,,Stadio Giuseppe Meazza,Milan,4-1
Round of 16,2006-03-14,Inter,Ajax,Italy,Netherlands,1,0,,,Stadio Giuseppe Meazza,Inter,1-0
Quarter-finals,2006-03-28,Arsenal,Juventus,England,Italy,2,0,,,Highbury,Arsenal,2-0
Quarter-finals,2006-03-28,Benfica,Barcelona,Portugal,Spain,0,0,,,Estádio do Sport Lisboa e Benfica,,0-0
Quarter-finals,2006-03-29,Lyon,Milan,France,Italy,0,0,,,Stade de Gerland,,0-0
Quarter-finals,2006-03-29,Inter,Villarreal,Italy,Spain,2,1,,,Stadio Giuseppe Meazza,Inter,2-1
Quarter-finals,2006-04-04,Villarreal,Inter,Spain,Italy,1,0,,,Estadio El Madrigal,Villarreal,1-0
Quarter-finals,2006-04-04,Milan,Lyon,Italy,France,3,1,,,Stadio Giuseppe Meazza,Milan,3-1
Quarter-finals,2006-04-05,Juventus,Arsenal,Italy,England,0,0,,,Delle Alpi,,0-0
Quarter-finals,2006-04-05,Barcelona,Benfica,Spain,Portugal,2,0,,,Camp Nou,Barcelona,2-0
Semi-finals,2006-04-18,Milan,Barcelona,Italy,Spain,0,1,,,Stadio Giuseppe Meazza,Barcelona,0-1
Semi-finals,2006-04-19,Arsenal,Villarreal,England,Spain,1,0,,,Highbury,Arsenal,1-0
Semi-finals,2006-04-25,Villarreal,Arsenal,Spain,England,0,0,,,Estadio El Madrigal,,0-0
Semi-finals,2006-04-26,Barcelona,Milan,Spain,Italy,0,0,,,Camp Nou,,0-0
Final,2006-05-17,Barcelona,Arsenal,Spain,England,2,1,,,Stade de France (Neutral Site),Barcelona,2-1
